title,artist,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,lyrics,sentiment
Steal My Girl,One Direction,2014,0.536,0.768,10,-5.948,0,0.00433,0.0,0.114,0.545,77.217,228133,"Steal My Girl Lyrics[Intro]

[Verse 1: Zayn]
She been my queen since we were sixteen
We want the same things, we dream the same dreams
Alright, alright
I got it all 'cause she is the one
Her mum calls me ""Love"", her dad calls me ""Son""
Alright, alright

[Pre-Chorus: Niall]
I know, I know, I know for sure
[Chorus: All]
Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me
Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me

[Post-Chorus: All, Liam]
Na-na-na-na-na-na-na (Oh, yeah)
Na-na-na-na-na-na-na (Alright)
Na-na-na-na-na-na-na, na-na
She belongs to me

[Verse 2: Liam, Louis & Liam, Louis]
Kisses like cream, her walk is so mean
And every jaw drops when she's in those jeans
Alright, alright
I don't exist if I don't have her
The sun doesn't shine, the world doesn't turn
Alright, alright

[Pre-Chorus: Niall]
But I know, I know, I know for sure
You might also like[Chorus: All]
Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me
Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me

[Post-Chorus: All, Liam]
Na-na-na-na-na-na-na (Oh, yeah)
Na-na-na-na-na-na-na (Alright)
Na-na-na-na-na-na-na, na-na-na-na

[Bridge: Harry, All]
She know, she knows
That I never let her down before
Oh, she know, she knows
That I'm never gonna let another take her love from me now

[Chorus: All, Zayn]
Everybody wanna steal my girl (Wants to steal my girl)
Everybody wanna take her heart away (Wants to take her heart away)
Couple billion in the whole wide world
Find another one 'cause she belongs to me
(Well, find another one 'cause she belongs to me)
Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me (Oh, yeah)
[Post-Chorus: All, Niall, Zayn]
Na-na-na-na-na-na-na (Oh, yeah; Alright, yeah)
Na-na-na-na-na-na-na (Alright)
Na-na-na-na-na-na-na, na-na
She belongs to me
Na-na-na-na-na-na-na (She belongs to me, yeah; Oh, yeah)
Na-na-na-na-na-na-na (Alright)
Na-na-na-na-na-na-na
She belongs to me126Embed",happy
Waves,Dean Lewis,2019,0.518,0.729,11,-7.193,0,0.183,0.0,0.0643,0.343,156.879,240013,"Waves Lyrics[Verse 1]
There is a swelling storm
And I'm caught up in the middle of it all
And it takes control of the person that I thought I was
The boy I used to know
But there is a light in the dark
And I feel its warmth
In my hands, in my heart
But why can't I hold on?

[Pre-Chorus]
It comes and goes in waves
It always does, always does
We watch as our young hearts fade
Into the flood, into the flood
[Chorus]
And the freedom of falling
The feeling I thought was set in stone
It slips through my fingers
I'm trying hard to let go
It comes and goes in waves
It comes and goes in waves
And carries us away

[Verse 2]
Through the wind
Down to the place we used to lay when we were kids
Memories of a stolen place
Caught in the silence, an echo lost in space

[Pre-Chorus]
It comes and goes in waves
It always does, it always does
We watch as our young hearts fade
Into the flood, into the flood

[Chorus]
And the freedom of falling
The feeling I thought was set in stone
It slips through my fingers
I'm trying hard to let go
It comes and goes in waves
It comes and goes in waves
And carries us away
You might also like[Bridge]
I've watched my wild youth
Disappear in front of my eyes
Moments of magic and wonder
It seems so hard to find
Is it ever coming back again?
Is it ever coming back again?
Take me back to the feeling when
Everything was left to find

[Pre-Chorus]
It comes and goes in waves
It always does, it always does

[Chorus]
And the freedom of falling
The feeling I thought was set in stone
It slips through my fingers
I'm trying hard to let go
It comes and goes in waves
It comes and goes in waves
And carries us away41Embed",sad
Don't Be so Hard on Yourself,Jess Glynne,2015,0.571,0.815,6,-3.267,1,0.0608,0.0,0.163,0.664,120.008,211460,"Don’t Be So Hard on Yourself Lyrics[Verse 1]
I came here with a broken heart that no one else could see
I drew a smile on my face to paper over me
But wounds heal when tears dry and cracks they don't show
So don't be so hard on yourself, no

[Pre-Chorus]
Let's go back to simplicity
I feel like I've been missing me
Was not who I'm supposed to be
I felt this darkness over me
We all get there eventually
I never knew where I belonged
But I was right and you were wrong
Been telling myself all along
[Chorus]
Don't be so hard on yourself, no
Learn to forgive, learn to let go
Everyone trips, everyone falls
So don't be so hard on yourself, no
'Cause I'm just tired of marching on my own
Kind of frail, I feel it in my bones
Won't let my heart, my heart turn into stone
So don't be so hard on yourself, no

[Verse 2]
I'm standin' on top of the world, right where I wanna be
So how can this dark cloud keep raining over me?
But hearts break and hell's a place that everyone knows
So don't be so hard on yourself, no

[Pre-Chorus]
Let's go back to simplicity
I feel like I've been missing me
Was not who I'm supposed to be
I felt this darkness over me
We all get there eventually
I never knew where I belonged
But I was right and you were wrong
Been telling myself all along
You might also like[Chorus]
Don't be so hard on yourself, no
Learn to forgive, learn to let go
Everyone trips, everyone falls
So don't be so hard on yourself, no
'Cause I'm just tired of marching on my own
Kind of frail, I feel it in my bones
Won't let my heart, my heart turn into stone
So don't be so hard on yourself, no

[Bridge]
Oh, oh, oh, I
I learned to wave goodbye
How not to see my life
Through someone else's eyes
It's not an easy road
But now I'm not alone
So I, I won't be so hard on myself no more

[Chorus]
Don't be so hard on yourself, no
Learn to forgive, learn to let go
Everyone trips, everyone falls
So don't be so hard on yourself, no
'Cause I'm just tired of marching on my own
Kind of frail, I feel it in my bones
Won't let my heart, my heart turn into stone
So don't be so hard on yourself, no
[Outro]
'Cause I'm just tired of marching on my own
Kind of frail, I feel it in my bones
Won't let my heart, my heart turn into stone
So don't be so hard on yourself, no24Embed",happy
London Is Lonely,Holly Humberstone,2022,0.482,0.43,10,-7.224,1,0.763,2.79e-06,0.344,0.113,143.23,234760,"London Is Lonely Lyrics[Verse 1]
I started feeling like I'm living in the Upside Down
Haven't seen you in forever and I don't know how
And I've been smoking and staying out too late
But you know I've got good intentions, babe

[Verse 2]
Started feeling like I see you in the rush hour crowd
When I catch you and a stranger in the Underground
But something's missing, I've got an empty space
And something's different, when you leave my place
[Pre-Chorus]
So I'll try not to say what I mean when I call you up
And I'll try not to think of the distances between us

[Chorus]
And it's all good when we dance all night
And I swear that I'd be alright
But it's getting harder and hardеr to reach you
London is lonely without you
So will you stay?
Cause I'm— Oh, so sick of this placе
Feeling way too big and nothing can hold me—
Can hold me like you do
London is lonely without you

[Verse 3]
Any minute now, I swear I'm gonna lose my mind
So many people, it's so easy to get lost sometimes
And this winter is going on too long
Though it don't snow here
It stays pretty cold and I miss your warmth

[Pre-Chorus]
So I'll try not to say what I mean when I call you up (Call you up)
And I'll try not to think of the distances between us
You might also like[Chorus]
And it's all good when we dance all night
And I swear that I'd be alright
But it's getting harder and harder to reach you
London is lonely without you
So will you stay?
'Cause I'm— Oh, so sick of this place
Feeling way too big and nothing can hold me—
Can hold me like you do
London is lonely, so lonely

[Post-Chorus]
I'm lonely without you
I'm lonely without you
God, I'm lonely without you

[Chorus]
And it's all good when we dance all night
And I swear that I'd be alright
But it's getting harder and harder to reach you
London is lonely without you
So will you stay?
'Cause I'm— Oh, so sick of this place
Feeling way too big and nothing can hold me—
Can hold me like you do
London is lonely, so lonely
[Post-Chorus]
I'm lonely without you (I'm lonely without you)
I'm lonely without you (So lonely without you)
God, I'm lonely without you (So lonely without you)

[Outro]
London is lonely, so lonely
I'm lonely without you (Mmm-mmh)
God, I'm lonely without you
Without you, mmm-mmh2Embed",sad
How Could You,Jessie Murph,2022,0.573,0.17,11,-10.576,1,0.834,3.08e-06,0.108,0.28,146.749,187813,"How Could You Lyrics[Verse 1]
You said you were sober
So I let you come over
Your words pulled me closer
But your words fuck me over
I kept on denyin'
So you kept on tryin'
You went too far for closure
Too far fucked me over

[Chorus]
I could just lie here, say, ""It's okay""
When I wanna rip all the doors off this place
Set it on fire and just walk away
So I can feel anything else but this weight
'Cause I let you in when I needed space
And you crossed a line when I pushed you away
How could you? How could you?
[Verse 2]
Oh, I more than regret you
You'vе convinced yourself I let you
Thе better version of me never met you
Never let you in my bedroom
Oh, all those shitty lines and crooked blinds
And cheap red wine stains
Threaten suicide to change my mind
And keep me afraid

[Chorus]
You want me to lie here, and say, ""It's okay""
When I wanna rip all the doors off this place
Set it on fire and just walk away
So I can feel anything else but this weight
'Cause I let you in when I needed space
And you crossed a line when I pushed you away
How could you? How could you?

[Outro]
I once loved a liar
'Cause he knew my name
Would rewrite the story
And make me to blame
How could you?You might also likeEmbed",sad
Green Green Grass,George Ezra,2022,0.685,0.738,8,-4.413,1,0.0695,0.0,0.128,0.8,112.972,167614,"Green Green Grass Lyrics[Intro]
(Throw a party)
(Throw a party, yeah)
(Throw a party)

[Verse 1]
Well, she moves like lightning
And she counts to three
And she turns out all the lights
And says she's coming for me
Now put your hands up, this is a heist
And there's no one in here living
Gonna make it out alive
[Pre-Chorus]
Loaded up when the sun comes down
Getaway car for two young lovers
Me and the girl straight out of town
Over the hills and undercover
Undercover
Undercover

[Chorus]
She said
Green, green grass
Blue, blue sky
You better throw a party on the day that I die
Green, green grass
Blue, bluе sky
You better throw a party on the day that I diе

[Verse 2]
We go together, Adam and Eve
But the girl is so much more than just another apple thief
Yeah, she's a genius (Genius), watch and learn
How she sets the world on fire
Just to watch the sucker burn

[Pre-Chorus]
Loaded up when the sun comes down
Getaway car for two young lovers
Me and the girl straight out of town
Over the hills and undercover
Undercover
Undercover
You might also like[Chorus]
She said
Green, green grass
Blue, blue sky
You better throw a party on the day that I die
Green, green grass
Blue, blue sky
You better throw a party on the day that I die

[Bridge]
Throw a party (Hey)
Throw a party, yeah
Throw a party (Woo)
On the day that I die
Throw a party (Hey)
Throw a party, babe
Throw a party
On the day that I die

[Pre-Chorus]
Loaded up when the sun comes down
Getaway car for two young lovers
Me and the girl straight out of town
Over the hills and undercover
Undercover
Undercover
[Chorus]
She said
Green, green grass
Blue, blue sky
You better throw a party on the day that I die
Green, green grass
Blue, blue sky
You better throw a party on the day that I die
Green, green grass
Blue, blue sky
You better throw a party on the day that I die
Green, green grass
Blue, blue sky
You better throw a party on the day that I die3Embed",happy
No,Little Mix,2021,0.793,0.842,8,-3.563,0,0.165,0.0,0.107,0.747,120.008,183022,"No Lyrics[Verse 1: Leigh-Anne]
Woke up feeling like the baddest bitch I've ever known
Feelin' even stronger than I've ever felt before
Pushed me to the limit, now I'm in a different zone
Now you're all alone, now you're all alone

[Pre-Chorus: Jade]
And I know that I was always scared to say it
And I fell into the games that you were playin'
Yeah, I know it's up to personal opinion
But you never seen me like this
One little word feels so amazin'
Yeah, you're mad, yeah, I know you're gonna hate it
Now I got the power and I claim it
So baby, read my lips
[Chorus: All, Jade, Leigh-Anne]
I say, ""No, no, no""
I said ""yes"" too many times
Now it's ""no, no, no""
Told you, ""I'm no longer under your contro-o-ol""
No, I'm not the kind of girl I was before
Can't walk over me no more, no more
I say, ""No, no, no""
I said ""yes"" too many times
You should know, know, know
Told you, ""I'm no longer under your contro-o-ol""
See, I'm not the kind of girl I was before (Before)
Can't walk over me no more (No more), no more

[Verse 2: Perrie, Jade, Perrie & Jade]
I was sick of bein' a prisoner, livin' under your thumb (Thumb)
So now what doesn't kill me better hurry up and run (Run)
My light, you tried to dim it, but I rise up like a phoenix
So when all is said and done (Done)
Then you're the lonely one

[Pre-Chorus: Jade, Leigh-Anne]
And I know that I was always scared to say it
And I fell into the games that you were playin'
Yeah, I know it's up to personal opinion
But you never seen me like this
One little word feels so amazin' (Ah-yah-yah)
Yeah, you're mad, yeah, I know you're gonna hate it
Now I got the power and I claim it (Ooh)
So baby, read my lips
You might also like[Chorus: All, Jade, Perrie, Leigh-Anne]
I say, ""No, no, no""
I said ""yes"" too many times
Now it's ""no, no, no""
Told you, ""I'm no longer under your contro-o-ol"" (Oh)
No, I'm not the kind of girl I was before (Before)
Can't walk over me no more (No more), no more (No more)
I say, ""No, no, no""
I said ""yes"" too many times (I said, ""No"")
You should know, know, know (No)
Told you, ""I'm no longer under your contro-o-ol"" (Oh; Under your control)
See, I'm not the kind of girl I was before (Before)
Can't walk over me no more (No more), no more

[Bridge: Leigh-Anne, All, Jade, Perrie]
It's a shame it had to end out this way (This way)
I'm better off at the end of the day (The day)
So let karma do its thing
'Cause if you're not right within, you're never gonna win

[Pre-Chorus: Perrie]
So baby, read my lips

[Chorus: All, Jade, Leigh-Anne, Perrie]
I say, ""No, no, no"" (Ah-yah-yah)
I said ""yes"" too many times (I said, ""No"")
Now it's ""no, no, no"" (No)
Told you, ""I'm no longer under your contro-o-ol"" (Your; Control, babe)
No, I'm not the kind of girl I was before (Before)
Can't walk over me no more (No more), no more (No more, no more)
""No, no, no"" (Ah-yah-yah)
I said ""yes"" too many times (I said, ""No"")
You should know, know, know (You should know; No)
Told you, ""I'm no longer under your contro-o-ol"" (Your)
See, I'm not the kind of girl I was before (Girl I was before; Before)
(Can't walk over me) Can't walk over me no more (No more)
[Outro: Leigh-Anne]
I said, ""No""36Embed",angry
The One That Got Away,Brielle Von Hugel,2016,0.281,0.139,4,-8.97,1,0.926,0.0,0.099,0.0467,63.473,247696,"The One That Got Away Lyrics[Verse 1]
Summer after high school, when we first met
We'd make out in your Mustang to Radiohead
And on my eighteenth birthday, we got matching tattoos
Used to steal your parents' liquor and climb to the roof
Talked about our future like we had a clue
Never planned that one day I'd be losing you

[Chorus]
In another life, I would be your girl
We'd keep all our promises, be us against the world
In another life, I would make you stay
So I don't have to say you were the one that got away
The one that got away
[Verse 2]
I was June, and you wеre my Johnny Cash
Never onе without the other, we made a pact
Sometimes when I miss you, I put those records on
Someone said you had your tattoo removed
Saw you downtown, singing the blues
Never planned that one day I'd be losing you

[Chorus]
In another life, I would be your girl
And we'd keep all our promises, be us against the world
In another life, I would make you stay
So I don't have to say you were the one that got away
The one that got away

[Bridge]
All this money can't buy me a time machine, no
I can't replace you with a million rings, no
I should've told you what you meant to me, no
'Cause now I pay the price

[Chorus]
'Cause In another life, I would be your girl
We'd keep all our promises, be us against the world
In another life, I would make you stay
So I don't have to say you were the one that got away
The one that got away
The one that got away, no
The one that got awayYou might also like2Embed",sad
Someone You Loved,Lewis Capaldi,2019,0.501,0.405,1,-5.679,1,0.751,0.0,0.105,0.446,109.891,182161,"Someone You Loved Lyrics[Verse 1]
I'm going under, and this time, I fear there's no one to save me
This all or nothing really got a way of driving me crazy
I need somebody to hear,  somebody to know
Somebody to have, somebody to hold
It's easy to say, but it's never the same
I guess I kinda liked the way you numbed all the pain

[Chorus]
Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
[Verse 2]
I'm going under, and this time, I fear there's no one to turn to
This all or nothing way of loving got me sleeping without you
Now, I need somebody to know, somebody to hear
Somebody to have, just to know how it feels
It's easy to say, but it's never the same
I guess I kinda like the way you help me escape

[Chorus]
Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved

[Bridge]
And I tend to close my eyes when it hurts sometimes
I fall into your arms
I'll be safe in your sound till I come back around

[Chorus]
For now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
But now the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you lovedYou might also like168Embed",sad
The Lighthouse,Halsey,2021,0.324,0.614,9,-6.217,0,0.137,0.000633,0.305,0.295,123.145,273387,"The Lighthouse Lyrics[Verse 1]
From a tender age, I was cursed with rage
Came swingin' like a fist inside a battin' cage
I went swimmin' with the Devil at the bottom of a lake
And he left me there by my lonesome
He was tall and mean with venom eyes so green
Wanted reconciliation, but my tongue was in my teeth
I couldn't find the floor, so I was kickin' with my feet
But they weren't there, they were stolen

[Chorus]
There is a lighthouse
In thе middle of the deep
And I'm still stranded on thе shoreline there
And nobody hears me scream
And I'll lure you like a landslide
And I'll show you lovely things
If you rescue me, but they're make-believe
The lighthouse by the sea
[Verse 2]
I met a sailor on a ship with promise in his eyes
He kissed me on the mouth and dug his fingers in my thighs
But a sailor ain't a savior 'cause they only tell you lies
So I left him there 'til the sunrise
Well, the waves were tall and they were crashin' down
He's layin' in the water, begging God to let him drown
So I showed him all my teeth and then I laughed out loud
'Cause I never wanted savin', I just wanted to be found

[Chorus]
There is a lighthouse
In the middle of the deep
And I'm still stranded on the shoreline there
And nobody hears me scream
And I'll lure you like a landslide
And I'll show you lovely things
If you rescue me, but they're make-believe
The lighthouse by the sea

[Bridge]
Well, that should teach a man to mess with me
He was never seen again and I'm still wanderin' the beach
And I'm glad I met the Devil 'cause he showed me I was weak
And a little piece of him is in a little piece of me
You might also like[Chorus]
There is a lighthouse
In the middle of the deep
And I'm still stranded on the shoreline there
And nobody hears me scream
And I'll lure you like a landslide
And I'll show you lovely things
If you rescue me, but they're make-believe
The lighthouse by the sea

[Outro]
And the waves come crashing down
And the waves come crashing down
And the waves come crashing down (And the waves come crashing down)
And the waves come crashing down (And the waves come crashing down)
And the waves come crashing down (And the waves come crashing down)
And the waves come crashing down (And the waves come crashing down)
And the waves come crashing down (And the waves come crashing down)
And the waves come crashing down10Embed",angry
abcdefu,GAYLE,2021,0.695,0.54,4,-5.692,1,0.299,0.0,0.367,0.415,121.932,168602,"​abcdefu Lyrics[Intro]
Fuck you and your mom and your sister and your job
And your broke-ass car and that shit you call art
Fuck you and your friends that I'll never see again
Everybody but your dog, you can all fuck off

[Verse 1]
I swear I meant to mean the best when it ended
Even tried to bite my tongue when you start shit
Now you're textin' all my friends asking questions
They never even liked you in the first place
Dated a girl that I hate for the attention
She only made it two days, what a connection
It's like you'd do anythin' for my affection
You're goin' all about it in the worst ways
[Pre-Chorus]
I was into you, but I'm ovеr it now
And I was tryna be nice
But nothing's getting through, so lеt me spell it out

[Chorus]
A-B-C-D-E, F you
And your mom and your sister and your job
And your broke-ass car and that shit you call art
Fuck you and your friends that I'll never see again
Everybody but your dog, you can all fuck off

[Post-Chorus]
Na-na-na-na, na-na-na-na
A-B-C-D-E, F you
[Verse 2]
You said you just needed space and so I gave it
When I had nothin' to say, you couldn't take it
Told everyone I'm a bitch, so I became it
Always had to put yourself above me

[Pre-Chorus]
I was into you, but I'm over it now
And I was tryna be nice
But nothing's getting through, so let me spell it out
You might also like[Chorus]
A-B-C-D-E, F you
And your mom and your sister and your job
And your craigslist couch and the way your voice sounds
Fuck you and your friends that I'll never see again
Everybody but your dog, you can all fuck off

[Post-Chorus]
Na-na-na-na, na-na-na-na
A-B-C-D-E, F off (F off)
Na-na-na-na, na-na-na-na
A-B-C-D-E, F you

[Outro]
And your mom and your sister and your job
And your broke-ass car and that shit you call art
Fuck you and your friends that I'll never see again
Everybody but your dog, you can all fuck off41Embed",angry
drivers license,Olivia Rodrigo,2021,0.585,0.436,10,-8.761,1,0.721,1.31e-05,0.105,0.132,143.874,242014,"​drivers license Lyrics[Verse 1]
I got my driver's license last week
Just like we always talked about
'Cause you were so excited for me
To finally drive up to your house
But today, I drove through the suburbs
Crying 'cause you weren't around

[Verse 2]
And you're probably with that blonde girl
Who always made me doubt
She's so much older than me
She's everything I'm insecure about
Yeah, today, I drove through the suburbs
'Cause how could I ever love someone else?
[Chorus]
And I know we weren't perfect, but I've never felt this way for no one
And I just can't imagine how you could be so okay now that I'm gone
Guess you didn't mean what you wrote in that song about me
'Cause you said forever, now I drive alone past your street

[Verse 3]
And all my friends are tired
Of hearing how much I miss you, but
I kinda feel sorry for them
'Cause they'll never know you the way that I do
Yeah, today, I drove through the suburbs
And pictured I was driving home to you

[Chorus]
And I know we weren't perfect, but I've never felt this way for no one, oh
And I just can't imagine how you could be so okay now that I'm gone
I guess you didn't mean what you wrote in that song about me
'Cause you said forever, now I drive alone past your street

[Bridge]
Red lights, stop signs
I still see your face in the white cars, front yards
Can't drive past the places we used to go to
'Cause I still fuckin' love you, babe (Ooh, ooh-ooh, ooh, ooh-ooh)
Sidewalks we crossed
I still hear your voice in the traffic, we're laughing
Over all the noise
God, I'm so blue, know we're through
But I still fuckin' love you, babe (Ooh, ooh-ooh, ooh, ooh-ooh)
You might also like[Chorus]
I know we weren't perfect, but I've never felt this way for no one
And I just can't imagine how you could be so okay now that I'm gone
Guess you didn't mean what you wrote in that song about me
'Cause you said forever, now I drive alone past your street

[Outro]
Yeah, you said forever, now I drive alone past your street374Embed",angry
Blinding Lights,The Weeknd,2020,0.514,0.73,1,-5.934,1,0.00146,9.54e-05,0.0897,0.334,171.005,200040,"Blinding Lights Lyrics[Intro]
Yeah

[Verse 1]
I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm going through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby
[Pre-Chorus]
I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

[Chorus]
I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

[Verse 2]
I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh

[Pre-Chorus]
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

[Chorus]
I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
You might also like[Bridge]
I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

[Chorus]
I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey
Hey, hey, hey

[Outro]
I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch268Embed",happy
Fat Funny Friend (sadder),Maddie Zahm,2022,0.547,0.222,0,-8.709,1,0.962,9.31e-05,0.101,0.528,106.28,202320,"Fat Funny Friend (sadder) Lyrics[Verse 1]
I break the ice, so they don't see my size
And I have to be nice, or I'll be the next punch line
I'm just the best friend in Hollywood movies
Who only exists to continue the story
The girl gets the guy, while I'm standing off-screen
So I'll wait for my cue to be comedic relief

[Chorus]
Can't be too loud, can't be too busy
If I don't answer now, are they still gonna need me?
Can't be too proud, can't think I'm pretty
Do they keep me around, so their flaws just seem silly?
[Verse 2]
I say I'm okay, 'cause they wouldn't care anyway
And I could try to explain
But my efforts in vain, they can't relate
To how I've drawn out in Sharpie where I'd take the scissors
If that's what it took for me to look in the mirror
Oh, I've done every diet to make me look thinner
So why do I still feel so goddamn inferior?

[Chorus]
Can't be too loud, can't be too busy
If I don't answer now, are they still gonna need me?
Can't be too proud, can't think I'm pretty
Do they keep me around, so their flaws just seem silly?

[Hook]
Life of the fat, funny, friend
Life of the fat, funny, friend

[Bridge]
It's funny when I think a guy likes me
And it's funny when I'm the one who says, ""Let's go to eat""
It's funny when I'm asked to go out on Halloween
Dresses, and thigh-highs, while I hide my body
Can't be too loud, can't think I'm pretty
Do they keep me around, so their flaws just seem silly?
You might also like[Chorus]
Can't be too loud, can't be too busy
If I don't answer now, are they just gonna leave me?
Can't be too proud, can't think I'm pretty
Do they keep me around, so their flaws just seem silly?

[Hook]
Life of the fat, funny, friend
Life of the fat, funny, friend
Life of the fat, funny, friend
Life of the fat, funny, friend

[Outro]
I've drawn out in Sharpie where I'd take the scissorsEmbed",sad
Forget I Exist,Sam MacPherson,2022,0.662,0.399,7,-8.933,1,0.491,2.4e-05,0.127,0.265,96.05,172627,"Forget I Exist Lyrics[Verse 1]
Of course I do
Try not to think about you
But of course I do
Have you tried
Moving on without you
It's impossible to do
You're impossible to lose
Subconsciously thought I wasn't allowed to

I was just waiting for some kind of sign
That there's not a world that's not you and I
[Chorus]
But this is the end
The plot doesn't twist
You'll never love me again like you did
You might always be someone I miss
But it's okay if you forget I exist
Forget I exist
Forget I exist

[Verse 2]
Of course I try
Blaming it on the timing
But at the time life was hard
And you helped me survive it
So I could never hate you
Or lеt someone replacе you
But of course I try
Of course I try

We're no longer lovers and we're no longer friends
Now all that's left is being strangers again

[Chorus]
But this is the end
The plot doesn't twist
You'll never love me again like you did
You might always be someone I miss
But it's okay if you forget I exist
Forget I exist
Forget I exist
You might also like[Bridge]
It's okay if you forget
Everything that you promised
It's okay if you forget
All the things that we wanted
If my name is something that
You longer acknowledge
It's okay, it's okay, it's okay

[Chorus]
But this is the end
The plot doesn't twist
You'll never love me again like you did
You might always be someone I miss
But it's okay if you forget I exist
Forget I exist
Forget I existEmbed",sad
Sue Me,Sabrina Carpenter,2018,0.46,0.809,6,-5.415,1,0.0422,5.04e-05,0.138,0.609,157.184,179227,"Sue Me Lyrics[Verse 1]
Remember when you said it, there's no second chance?
Oh, baby, I heard you been hoping you could change the past
You miss the long goodnights, you miss the long goodbyes
You miss the long goodnights (Yup, yup, yup, yup, yup)
Well, did you ever think that it was hard for me
To walk it off like nothing happened, nonchalantly?
I got you feeling like, I got you feeling right
I got you feeling like (Yup, yup, yup, yup, yup)

[Pre-Chorus]
That's my shape, I made the shadow
That's my name, don't wear it out though
Feelin' myself can't be illegal, illegal
[Chorus]
So sue me for looking too pretty tonight
Wearing your favorite color under the lights
For moving on, doing everything right
So sue me for being good friends with your friends
And running into you the place that we met
For being something you can't forget
So sue me

[Verse 2]
(Go)
It's hard to see me on when you been off as hell
But I'm not gonna dull myself because you dull yourself
I know it's hard to see what you don't want to see
I know it's hard to see (Yup, yup, yup, yup, yup)

[Pre-Chorus]
That's my shape, I made the shadow
That's my name, don't wear it out though
Feelin' myself can't be illegal, illegal

[Chorus]
So sue me for looking too pretty tonight
Wearing your favorite color under the lights
For moving on, doing everything right
So sue me for being good friends with your friends
And running into you the place that we met
For being something you can't forget
So sue me
You might also like[Bridge]
I, I, I
I guess I'm hard to ignore
Pick up that jaw off the floor

[Chorus]
So sue me for looking too pretty tonight
Wearing your favorite color under the lights
For moving on, doing everything right
(Everything right, no, no, everything right, no, no, oh)
So sue me for being good friends with your friends
(With your friends, yeah, yeah, yeah)
And running into you the place that we met
(The place that we met)
For being something you can't forget
(You can't forget, no)
So sue me

[Outro]
Sue me, baby
No, no66Embed",angry
Fumbled the Bag,Jenna Raine,2022,0.581,0.504,4,-6.843,1,0.372,0.0,0.109,0.367,174.094,189637,"​Fumbled the Bag Lyrics[Verse 1]
I saw you out with your friends
Same old cologne on your skin
You said, ""I miss you"" and ""how you been?""
You know I'm no good at this
My stomach's doing front flips
I used to know you, it makes me sick

[Pre-Chorus]
So don't call me overdramatic
Pretending the story of us isn't tragic
[Chorus]
What if the best thing you had is somebody that you want back?
What if the moment you walked away you wish you'd turned around?
What if you got it all wrong and I was the one all along?
Hate to say, ""I told you so"" but baby ain't it sad
You fumbled the bag

[Verse 2]
You said your sister's engaged
She found love, you can't say the same
Thought that would be us one day
Small talk is hard to maintain when my hearts in 2019
You stood close and I just looked away

[Pre-Chorus]
So don't call me overdramatic
Pretending the story of us isn't tragic

[Chorus]
What if the bеst thing you had is somebody that you want back?
What if the moment you walkеd away you wish you'd turned around?
What if you got it all wrong and I was the one all along?
Hate to say, ""I told you so"" but baby ain't it sad

[Bridge]
Now you gotta watch me give the world to someone else
You're throwing matches on the flame
But you're the one who burned it out when you left
I should've said
You might also like[Chorus]
What if the best thing you had is somebody that you want back?
What if the moment you walked away you wish you'd turned around?
What if you got it all wrong and I was the one all along?
Hate to say, ""I told you so"" but baby ain't it sad
You fumbled the bag (Ooh-ooh, ooh-ooh, ooh-ooh)
You fumbled the bagEmbed",sad
